request_idx,input_len,output_len,mist_ttft_sec,mist_e2e_sec,sim_wall_clock_sec,num_requests_submitted,num_requests_completed,platform,model,device,tensor_parallel_size
0,329.0,101.0,0.026301060000000008,1.5726173515999982,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
1,399.0,9.0,0.06870124205000014,0.17926052204999995,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
2,328.0,24.0,0.03812294554999994,0.37838489954999976,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
3,205.0,80.0,0.026306575049999763,1.2186717092999975,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
4,372.0,84.0,0.026492340849999893,1.2627530710999981,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
5,403.0,396.0,0.032764575199999625,6.401660884866666,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
6,770.0,9.0,0.05585759219999909,0.1718628721999985,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
7,227.0,173.0,0.029743360199997595,2.7742254241999977,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
8,390.0,37.0,0.03737179719999722,0.5917894881999964,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
9,659.0,587.0,0.0622913831999972,9.965340653366649,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
10,59.0,372.0,0.018411554199997227,6.244182685533323,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
11,76.0,159.0,0.03075501819999636,2.5965867332000094,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
12,744.0,135.0,0.06143501419999757,2.2293245372000063,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
13,619.0,34.0,0.05451985619999914,0.659991315199999,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
14,279.0,45.0,0.09236930119999852,0.8479340461999972,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
15,344.0,450.0,0.07413709519999884,7.716839119199975,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
