request_idx,input_len,output_len,mist_ttft_sec,mist_e2e_sec,sim_wall_clock_sec,num_requests_submitted,num_requests_completed,platform,model,device,tensor_parallel_size
0,12.0,119.0,0.049866139999999996,6.075750574892856,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
1,24.0,770.0,0.060685544092857126,44.850146259719125,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
2,26.0,232.0,0.09223583909285708,12.471608672333344,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
3,9.0,193.0,0.0567445067595238,10.156836038716673,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
4,328.0,101.0,0.11956074975952379,5.262564024826191,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
5,28.0,744.0,0.09925362375952432,43.60715799871914,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
6,401.0,8.0,0.12791929575952418,0.5124996377595239,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
7,327.0,23.0,0.1368576577595245,1.2278023040928578,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
8,204.0,79.0,0.09714520575952475,4.216823530992856,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
9,15.0,394.0,0.08273857609285551,23.422624208519032,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
10,402.0,88.0,0.14268183009285532,4.873378441050004,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
11,412.0,405.0,0.12317635409285685,24.194256177852367,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
12,8.0,45.0,0.07310000609285544,2.472539552792855,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
13,11.0,290.0,0.08569524289285618,16.77020916174524,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
14,775.0,8.0,0.23756882682619015,0.591888889992857,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
15,229.0,174.0,0.20809468482618923,9.89484397882621,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
16,7.0,276.0,0.22744016399285646,16.10745886674523,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
17,13.0,335.0,0.21926992899285597,20.29571495551902,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
18,389.0,39.0,0.11237609279285699,2.1279524443833386,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
19,650.0,680.0,0.1661124487166653,40.286073210719024,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
20,58.0,371.0,0.11037002505000237,22.709911645719046,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
21,75.0,160.0,0.0705913690500056,9.457216824078573,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
22,762.0,136.0,0.20035936905000382,8.126274416021444,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
23,619.0,33.0,0.14844089405000524,1.8933249703333404,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
24,278.0,44.0,0.1370649960500068,2.609287724142865,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
25,344.0,451.0,0.18517377705000762,27.737402626719064,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
26,8.0,122.0,0.08125119981667195,7.143387422021434,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
27,9.0,225.0,0.07584851033333871,14.09375901851903,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
28,10.0,4.0,0.0628174353333452,0.22345446033334337,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
29,79.0,58.0,0.09274710033334305,3.5794184349024016,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
30,767.0,10.0,0.21846718280953428,0.7427446717428665,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
31,316.0,572.0,0.19162850680953306,34.34103040721903,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
32,39.0,193.0,0.08420184174286442,12.27765479451902,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
33,618.0,519.0,0.19797195640953577,31.383675921719078,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
34,7.0,129.0,0.11773175207620261,8.077254576078564,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
35,297.0,12.0,0.11014433207620278,0.7019922325762018,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
36,15.0,222.0,0.10211337257619743,13.972986483852369,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
37,16.0,193.0,0.10255523082620494,12.350027743852362,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
38,695.0,15.0,0.21143089490240163,0.9664036399024044,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
39,578.0,34.0,0.17255848056905962,2.1157003007452366,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
40,10.0,280.0,0.0955101630690624,17.79839995071909,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
41,6.0,201.0,0.08271003481906883,12.852455621719047,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
42,280.0,491.0,0.10618752681907062,29.506158493719017,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
43,11.0,238.0,0.06389070902144522,15.182339320719075,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
44,146.0,127.0,0.1108786660214464,8.356455398519028,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
45,544.0,25.0,0.14172111074524218,1.7295560657452334,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
46,791.0,252.0,0.20546350907857414,16.121903884719085,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
47,335.0,16.0,0.21285561807857448,1.1356617182452355,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
48,5.0,203.0,0.15764414807857247,13.019511925719064,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
49,344.0,10.0,0.1093240080785763,0.6185905977452422,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
50,8.0,206.0,0.0981739947452479,13.08540479571907,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
51,44.0,77.0,0.09997866774523936,5.154720105328557,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
52,257.0,340.0,0.12402573524523905,20.870322476719057,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
53,817.0,771.0,0.34569508674522875,42.62421047721926,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
54,482.0,8.0,0.30264103674522996,0.8202963720785665,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
55,93.0,124.0,0.38222613607856326,8.152578131719045,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
56,640.0,5.0,0.31186071607856136,0.5407509160785631,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
57,21.0,558.0,0.11725382607856591,31.812201317219145,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
58,14.0,4.0,0.060483483078562134,0.2263826420785663,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
59,15.0,315.0,0.0907518400785666,19.092569356719064,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
60,76.0,25.0,0.09904279064523508,1.8580599143285617,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
61,31.0,416.0,0.09139726064523347,24.59424142721903,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
62,749.0,227.0,0.22685625164522935,14.179589726719096,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
63,179.0,152.0,0.0971614116452256,9.552725847719074,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
64,8.0,41.0,0.09874105864522789,2.703902728519024,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
65,627.0,24.0,0.17787317631189217,1.6267350273285557,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
66,479.0,17.0,0.18485696731189455,1.1569298553285625,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
67,41.0,169.0,0.0769258713118943,10.49747260071909,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
68,335.0,19.0,0.1393635863285599,1.2513760645190268,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
69,23.0,24.0,0.18025735051903394,1.4745010985190348,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
70,515.0,266.0,0.139843440519031,15.885438256719066,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
71,760.0,138.0,0.22980388085236336,8.692741746719086,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
72,111.0,11.0,0.10399977385236707,0.6617584738523655,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
73,113.0,768.0,0.12223301385236846,40.48385768721942,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
74,348.0,66.0,0.13388640811904043,4.216389400719075,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
75,83.0,634.0,0.14062165411904062,34.01551400721923,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
76,466.0,10.0,0.12463113411904124,0.7381381117190468,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
77,256.0,225.0,0.14252970211904176,13.297389526719126,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
78,10.0,298.0,0.15271450911903958,17.274329159719006,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
79,23.0,500.0,0.07487755911904241,27.35662188721909,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
80,342.0,146.0,0.12940023471904352,8.814256416719068,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
81,12.0,126.0,0.09626791171904552,7.658663506719095,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
82,399.0,22.0,0.2205035217190416,1.5095671557190544,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
83,257.0,25.0,0.193984561719044,1.6542451937190636,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
84,31.0,236.0,0.06770981271904383,13.605752922719123,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
85,27.0,349.0,0.08113443571905372,19.49041208721909,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
86,225.0,12.0,0.1072181887190527,0.8015070627190652,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
87,247.0,489.0,0.1383255797190577,26.434574697219055,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
88,34.0,407.0,0.09886544971905824,22.292639267219144,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
89,132.0,57.0,0.1225850927190695,3.532281625719093,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
90,100.0,28.0,0.10508200771907286,1.7738149907190819,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
91,26.0,511.0,0.07240580071907607,27.175261457219072,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
92,22.0,412.0,0.08776113571907626,22.250426547219124,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
93,58.0,525.0,0.09552679371908016,27.794850817219086,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
94,362.0,15.0,0.1620257177190797,1.0907004257190855,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
95,202.0,415.0,0.10835180571908859,22.254010857219086,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
96,143.0,443.0,0.10502501071908045,23.620383827219047,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
97,140.0,462.0,0.16555939371908607,24.485092207219,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
98,229.0,16.0,0.15743441371908556,1.066383486719089,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
99,316.0,578.0,0.13354217671909283,29.904232837219162,1.6671882499940693,100,100,l40s,Qwen/Qwen2.5-32B,L40S_GPU,2
