request_idx,input_len,output_len,mist_ttft_sec,mist_e2e_sec,sim_wall_clock_sec,num_requests_submitted,num_requests_completed,platform,model,device,tensor_parallel_size
0,329.0,101.0,0.015267669001332251,1.4630141567247241,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
1,399.0,9.0,0.022324896987978037,0.13564898979382928,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
2,328.0,24.0,0.023629135935997282,0.35441641812933883,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
3,205.0,80.0,0.02366257244052133,1.1685901739613156,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
4,372.0,84.0,0.029700010430007296,1.2299415873164086,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
5,403.0,396.0,0.024883986732643734,5.902604568751709,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
6,770.0,9.0,0.036987094928460695,0.15126094932593082,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
7,227.0,173.0,0.02108097507438606,2.5634481673800504,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
8,390.0,37.0,0.029358022428072218,0.5569389707942483,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
9,659.0,587.0,0.031421964403576114,8.991104960437438,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
10,59.0,372.0,0.01723008839027807,5.635804346901622,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
11,76.0,159.0,0.025312359795615066,2.393718013929218,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
12,744.0,135.0,0.02904761779683304,2.0358326915356257,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
13,619.0,34.0,0.030334964198527815,0.5350184833875119,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
14,279.0,45.0,0.032951482197485345,0.6952812677800366,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
15,344.0,450.0,0.032701986197555016,6.9262081268011775,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
16,80.0,59.0,0.028616869197554934,0.8939089027593368,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
17,768.0,11.0,0.03735698019298752,0.18461236238289302,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
18,317.0,567.0,0.03167899075983678,8.805342357041107,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
19,619.0,520.0,0.030085564354127202,8.089329995749491,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
20,298.0,13.0,0.026412614138310347,0.20084754611122935,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
21,696.0,16.0,0.038238595519184855,0.270887243123404,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
22,575.0,35.0,0.02971572232140079,0.5321713717576704,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
23,281.0,492.0,0.020717962929411443,7.6726790340395015,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
24,147.0,129.0,0.025679650556811793,2.0011470427045417,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
25,481.0,26.0,0.03178136345550956,0.4177612629572723,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
26,770.0,231.0,0.029809947454392385,3.597309684301086,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
27,336.0,17.0,0.01841934601162211,0.25827134090814796,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
28,331.0,11.0,0.0215635861078581,0.170694911317677,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
29,222.0,340.0,0.019010617917533636,5.370256143944948,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
30,802.0,768.0,0.031101127316941528,12.370455789227556,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
31,481.0,9.0,0.019760465717932676,0.14068081592334783,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
32,93.0,123.0,0.01886433292334823,1.941225878218519,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
33,641.0,6.0,0.028951437417040326,0.10462639511714315,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
34,77.0,26.0,0.04089651791812503,0.4300210629016219,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
35,689.0,206.0,0.0423693593052185,3.2488758232360007,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
36,178.0,151.0,0.01839733030207208,2.3847758122024643,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
37,628.0,25.0,0.03578858390363348,0.40042398800367845,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
38,480.0,18.0,0.025153960213448952,0.28701883161893604,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
39,336.0,20.0,0.027676604619909995,0.34513442642105474,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
40,515.0,267.0,0.04350217541886923,4.220463671445903,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
41,761.0,139.0,0.033428966916077114,2.1787720920415867,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
42,112.0,12.0,0.024884065892229044,0.19418159190431653,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
43,113.0,768.0,0.027929516894622794,12.235194226136116,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
44,348.0,67.0,0.026543838701554703,1.0680447969507167,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
45,82.0,628.0,0.017358330096438293,10.146298551884723,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
46,467.0,11.0,0.019274398595451204,0.18371954719958739,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
47,245.0,218.0,0.025395362193674373,3.426909127040097,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
48,343.0,145.0,0.0310083303964293,2.3238055097480848,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
49,387.0,22.0,0.025340666998019516,0.361777459406514,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
50,258.0,26.0,0.031468634400935114,0.4207659832009631,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
51,225.0,13.0,0.028142488604982644,0.2137576616075712,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
52,248.0,490.0,0.02328444744065564,8.026397109679396,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
53,133.0,58.0,0.017440476442037833,0.9502570851340478,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
54,98.0,29.0,0.0161852667832336,0.4414849307322056,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
55,58.0,526.0,0.02684030996740148,8.566734287488238,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
56,363.0,16.0,0.028663103166547445,0.2580630788324943,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
57,203.0,416.0,0.01635863583254468,6.8378527247961305,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
58,140.0,434.0,0.026603218434160227,7.162943157639146,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
59,140.0,451.0,0.018003258832493884,7.425588451630703,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
60,230.0,17.0,0.030789559233149702,0.3316733514310781,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
61,310.0,573.0,0.027663829232182253,9.235037720381431,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
62,521.0,104.0,0.042263066637542576,1.6287560770463916,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
63,768.0,7.0,0.04423178564028422,0.14832213833555943,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
64,317.0,8.0,0.021149251431079392,0.1413295207451938,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
65,298.0,11.0,0.03287869894494906,0.18594572494995917,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
66,336.0,22.0,0.02597968254385887,0.34481657654223635,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
67,491.0,13.0,0.02435074154100039,0.20454692164102925,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
68,59.0,392.0,0.02015405994060711,6.455671311669963,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
69,54.0,256.0,0.030030682743370563,4.1691070894163405,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
70,107.0,31.0,0.024028551046470965,0.4677969383408745,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
71,53.0,39.0,0.015760479646029127,0.5780261559482242,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
72,72.0,300.0,0.018211534145644692,5.091889544275773,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
73,768.0,9.0,0.03929553433951878,0.15829399673782246,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
74,933.0,458.0,0.06048350053464674,7.4028191700806145,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
75,239.0,147.0,0.05248824053464705,2.6079799654220386,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
76,277.0,240.0,0.01965377113661998,4.142733054429151,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
77,462.0,45.0,0.02780214897557016,0.8114130365632591,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
