UseCase,Serving Name,Batching_Strategy,Hardware,Parallelism,Max_Batch_Size,Chunk_Size,Cost,HW_Combination,Vendor,Energy_Used,TTFT_avg,TPOT_avg,rps,TTFT_p50,TTFT_p90,TTFT_p95,TTFT_p99,output_throughput,total_token_throughput,tokens_per_dollar,num_completed,num_ttft_observed
codegen-100.0rps,"h200_sxm|{'TP': 1, 'PP': 1, 'DP': 8}|CHUNKED|bs128|cs2048",CHUNKED,h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,50.48,['h200_sxm_1'],Nvidia,4.335111992910104,74.82449725264954,11.183976479436941,3.31632146382156,23.712147532839538,78.86734654411941,181.17179021724894,1773.7312626577416,1640.079280713562,-90856.72586649595,32.48968464171082,199,200
codegen-100.0rps,"h200_sxm|{'TP': 2, 'PP': 1, 'DP': 4}|CHUNKED|bs128|cs2048",CHUNKED,h200_sxm,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,50.48,['h200_sxm_2'],Nvidia,2.0508746718347948,90.29287932082428,11.099226685880563,4.35105142663963,38.34905293276634,260.17251688386494,366.8048793400805,455.9481608557585,2158.8611863557853,-118591.21343214737,42.766663755067064,200,200
codegen-100.0rps,"etched|{'TP': 1, 'PP': 1, 'DP': 8}|CHUNKED|bs128|cs2048",CHUNKED,etched,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,96.0,['etched_1'],Etched,3.1219199709974483,10.50813431837971,6.3294009052854125,4.925774994807856,9.906790991832338,13.415241662290942,14.236504294695813,23.055812505026648,2444.021779173814,-134255.74107248418,25.45856019972723,200,200
codegen-100.0rps,"b200_sxm|{'TP': 2, 'PP': 1, 'DP': 4}|CHUNKED|bs128|cs2048",CHUNKED,b200_sxm,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,68.8,['b200_sxm_2'],Nvidia,1.6068025334274043,50.21964344354656,7.36627679881325,6.324446751152752,21.313300730691367,134.95262136251404,195.70677111216136,360.0641451194052,3138.0007445194606,-172377.6027821991,45.61047593778286,200,200
codegen-100.0rps,"etched|{'TP': 2, 'PP': 1, 'DP': 4}|CHUNKED|bs128|cs2048",CHUNKED,etched,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,96.0,['etched_2'],Etched,1.5670013328279149,33.99837454957358,7.1280882531801755,6.370799573152209,20.13717915127077,54.81675007634142,128.183175853136,227.4282636523685,3160.9996242109314,-173640.98417393904,32.92707941886387,200,200
codegen-100.0rps,"mi350x|{'TP': 1, 'PP': 1, 'DP': 8}|CHUNKED|bs128|cs2048",CHUNKED,mi350x,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,60.0,['mi350x_1'],AMD,3.130558362066331,15.688462944776518,6.4621784542060805,4.909662194853006,11.727510329616933,21.883880154516696,32.908139266287705,80.89711375438625,2436.027091220216,-133816.57446398676,40.60045152033693,200,200
codegen-100.0rps,"mi350x|{'TP': 2, 'PP': 1, 'DP': 4}|CHUNKED|bs128|cs2048",CHUNKED,mi350x,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,60.0,['mi350x_2'],AMD,1.606652290035976,50.37345410438647,7.356055982740314,6.325641518494741,22.453429891286405,134.27980388099866,197.96754183771426,360.6097762505728,3138.593552231536,-172410.16707412823,52.30989253719226,200,200
codegen-100.0rps,"mi355x|{'TP': 1, 'PP': 1, 'DP': 8}|CHUNKED|bs128|cs2048",CHUNKED,mi355x,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,76.0,['mi355x_1'],AMD,3.130245778073361,14.943725731234316,6.442637396117504,4.912044805836858,11.844221259763685,21.017765559970524,29.734235596328205,77.86919783416808,2437.2092713120737,-133881.514337136,32.068543043579915,200,200
codegen-100.0rps,"mi355x|{'TP': 2, 'PP': 1, 'DP': 4}|CHUNKED|bs128|cs2048",CHUNKED,mi355x,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,76.0,['mi355x_2'],AMD,1.602129556489601,47.841433959835804,7.324822919009576,6.3315541039591645,21.924479434793398,123.88884426639605,191.39828858606106,346.46628720670464,3141.5271997614186,-172571.31908452604,41.33588420738709,200,200
codegen-100.0rps,"tpu_v7|{'TP': 1, 'PP': 1, 'DP': 8}|CHUNKED|bs128|cs2048",CHUNKED,tpu_v7,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,64.0,['tpu_v7_1'],TPU,3.1504109363550348,15.683942454516668,6.528555940620884,4.861575357221336,11.597656336726573,23.322592148266427,34.119571204292185,85.44136746173128,2412.1678449925103,-132505.931158339,37.69012257800797,200,200
codegen-100.0rps,"tpu_v7|{'TP': 2, 'PP': 1, 'DP': 4}|CHUNKED|bs128|cs2048",CHUNKED,tpu_v7,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,64.0,['tpu_v7_2'],TPU,1.6100807529087002,49.89361333909576,7.403805922481631,6.284334631974764,22.037145533072476,130.46921905377005,196.71864963825678,357.4112039694633,3118.098314346919,-171284.3164887925,48.72028616167061,200,200
codegen-100.0rps,"etched-etched|{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,etched-etched,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,96.0,"['etched_1', 'etched_1']",Etched,2.81002965203108,8.41398428558428,6.431620828783633,4.910069243239402,7.2076276409056845,11.504951661115273,12.40895828144235,32.06651027095506,2436.2290564180944,-133827.66887711477,25.37738600435515,200,200
