Batching_Strategy,Hardware,Parallelism,Max_Batch_Size,Chunk_Size,Cost,HW_Combination
BatchingMethod.CHUNKED,h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,50.48,['h200_sxm_1']
BatchingMethod.CHUNKED,h200_sxm,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,50.48,['h200_sxm_2']
BatchingMethod.CHUNKED,b200_sxm,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,68.8,['b200_sxm_1']
BatchingMethod.CHUNKED,b200_sxm,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,68.8,['b200_sxm_2']
BatchingMethod.CHUNKED,gb300,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,96.0,['gb300_1']
BatchingMethod.CHUNKED,gb300,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,96.0,['gb300_2']
BatchingMethod.CHUNKED,etched,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,96.0,['etched_1']
BatchingMethod.CHUNKED,etched,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,96.0,['etched_2']
BatchingMethod.CHUNKED,mi350x,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,60.0,['mi350x_1']
BatchingMethod.CHUNKED,mi350x,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,60.0,['mi350x_2']
BatchingMethod.CHUNKED,mi355x,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,76.0,['mi355x_1']
BatchingMethod.CHUNKED,mi355x,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,76.0,['mi355x_2']
BatchingMethod.CHUNKED,tpu_v6e,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,24.0,['tpu_v6e_2']
BatchingMethod.CHUNKED,tpu_v7,"{'TP': 1, 'PP': 1, 'DP': 8}",128,2048,64.0,['tpu_v7_1']
BatchingMethod.CHUNKED,tpu_v7,"{'TP': 2, 'PP': 1, 'DP': 4}",128,2048,64.0,['tpu_v7_2']
BatchingMethod.DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,50.48,"['h200_sxm_1', 'h200_sxm_1']"
BatchingMethod.DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,68.8,"['b200_sxm_1', 'b200_sxm_1']"
BatchingMethod.DISAGGREGATED,gb300-gb300,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,96.0,"['gb300_1', 'gb300_1']"
