case,architecture,context_len,scenario,num_clients,dcn_bandwidth_gbps,request_id,input_len,output_len,arrival_time_ms,ttft_ms,cache_retrieval_latency_ms,end_to_end_latency_ms
A,Dedicated per-client,4096,private,128,,58,242,14,261.470136915264,26.703868979466392,5.100000000000023,208.09066904940443
A,Dedicated per-client,4096,private,128,,40,375,37,169.50039847166747,32.12200637401975,5.099999999999994,591.3505766699218
A,Dedicated per-client,4096,private,128,,4,222,59,16.86405393175247,26.527455405494873,5.099999999999998,835.791640332909
A,Dedicated per-client,4096,private,128,,186,119,12,681.7125580014314,39.25205456542449,5.100000000000023,195.75037382606513
A,Dedicated per-client,4096,private,128,,56,4080,27,255.21083274738484,230.58355109472066,5.099999999999994,637.5722992464008
A,Dedicated per-client,4096,private,128,,28,201,55,120.46986917043719,37.95917456131687,5.099999999999994,856.2470684026881
A,Dedicated per-client,4096,private,128,,42,3110,46,180.37397983006736,188.11064803699952,5.099999999999994,819.9481178096387
A,Dedicated per-client,4096,private,128,,79,2249,36,309.9163350075924,155.1433513951592,5.100000000000023,696.0960762442016
A,Dedicated per-client,4096,private,128,,48,44,59,211.26610327194874,25.026307830045937,5.099999999999994,834.0113206205693
A,Dedicated per-client,4096,private,128,,61,1455,50,267.84640314378015,89.93775766957208,5.100000000000023,805.4156211928109
A,Dedicated per-client,4096,private,128,,242,120,12,946.2458522826827,27.304305455957092,5.100000000000023,182.84880647640045
A,Dedicated per-client,4096,private,128,,45,4083,50,204.11282292046437,230.75780625366028,5.099999999999994,935.3984598931322
A,Dedicated per-client,4096,private,128,,134,4076,33,491.55558261703396,230.35123562170253,5.100000000000023,707.4350611637044
A,Dedicated per-client,4096,private,128,,162,4084,29,583.7432349676861,230.81589484076892,5.100000000000023,624.6593495939061
A,Dedicated per-client,4096,private,128,,110,4069,41,410.63734099380673,233.1141228194346,5.100000000000023,800.7212036475337
A,Dedicated per-client,4096,private,128,,100,1986,41,378.3794095913787,183.96839259926696,5.100000000000023,846.1333268315121
A,Dedicated per-client,4096,private,128,,82,2073,56,316.71097092516004,143.60561270712708,5.100000000000023,932.7823457817409
A,Dedicated per-client,4096,private,128,,89,219,57,334.3324989404366,26.501054333120123,5.100000000000023,932.7962728852165
A,Dedicated per-client,4096,private,128,,154,1170,43,560.08452915709,80.35534811916364,5.100000000000023,695.6639707391059
A,Dedicated per-client,4096,private,128,,278,120,12,1091.8655119531347,35.26143692326514,5.099999999999909,193.4365097744742
A,Dedicated per-client,4096,private,128,,59,375,71,261.5792436445346,40.32313270134756,5.100000000000023,1026.5917405014006
A,Dedicated per-client,4096,private,128,,90,4082,49,335.59520834343635,280.047551810456,5.100000000000023,969.7366244016032
A,Dedicated per-client,4096,private,128,,7,361,88,41.609381395644874,31.356351431047912,5.100000000000001,1282.1192068059327
A,Dedicated per-client,4096,private,128,,140,4074,42,502.8906011899601,243.45661720299142,5.100000000000023,830.2388420903167
A,Dedicated per-client,4096,private,128,,158,386,49,577.6575482195484,32.72383537199198,5.100000000000023,758.1322480509453
A,Dedicated per-client,4096,private,128,,23,412,84,100.53158324366466,34.147190234254325,5.099999999999994,1282.558678881981
A,Dedicated per-client,4096,private,128,,99,378,60,378.23728185887893,39.93228315032644,5.100000000000023,994.3075679001049
A,Dedicated per-client,4096,private,128,,127,4084,36,477.8556725903399,230.81589484076898,5.100000000000023,896.8606078966266
