case,architecture,context_len,scenario,num_requests,p50_ms,p90_ms,p99_ms
A,Dedicated per-client,4096,private,1621,1624.6543564403428,6278.799303735397,7420.115694067809
B,Platform-shared,4096,private,1612,1640.8908508372815,6292.620440559121,7234.883206110802
C,Rack-shared,4096,private,1529,1952.3323099673967,6595.169409335215,7437.213956308945
D,Rack-shared + DCN,4096,private,1399,2511.793875125505,7114.88855371132,7919.498114878323
E,No cache,4096,private,1347,2066.7282906284354,4553.538251998976,8850.194032606498
A,Dedicated per-client,4096,shared,833,3049.004457329462,5981.055875525909,8344.934055008978
B,Platform-shared,4096,shared,1025,2637.588829284825,5208.753078052609,8511.151524166913
C,Rack-shared,4096,shared,1369,2073.445482242086,6116.292860879685,8306.820680881248
D,Rack-shared + DCN,4096,shared,1369,2497.1972060056178,7055.312699122864,7832.03784037808
E,No cache,4096,shared,1324,2051.7244076921315,4425.192856146497,8699.698457887012
A,Dedicated per-client,24576,private,1298,2016.5824222485462,4406.7548006429215,8674.535739191087
B,Platform-shared,24576,private,1268,2233.1556402172596,4467.677670386784,8571.660225425136
C,Rack-shared,24576,private,881,4127.879899103609,5516.232794911232,9524.896996603995
D,Rack-shared + DCN,24576,private,367,7279.75300774007,8222.39487103113,9430.334029087664
E,No cache,24576,private,332,5745.1325872505,7666.5102568918,8543.616376566875
A,Dedicated per-client,24576,shared,494,4005.385079885155,6798.725303093197,8390.961898574764
B,Platform-shared,24576,shared,600,4010.386360577771,6726.9817414068575,8216.516045254084
C,Rack-shared,24576,shared,770,4449.461751360333,6131.529034181411,8663.119535029462
D,Rack-shared + DCN,24576,shared,370,7290.502114356625,8282.095801984831,9077.900899911157
E,No cache,24576,shared,337,5773.620246636734,7613.130915978188,8747.229714070625
